# number of edges, number of variables
2000	530
# edges
0	0	Mq
0	0	MAs
0	0	AMs
0	1	d
1	1	Mq
1	1	MAs
1	1	AMs
2	0	d
2	2	Mq
2	2	AMs
2	2	MAs
3	3	Mq
3	3	MAs
3	3	AMs
3	4	d
4	4	Mq
4	4	MAs
4	4	AMs
4	9	d
5	5	Mq
5	5	MAs
5	5	AMs
5	6	d
6	6	Mq
6	6	MAs
6	6	AMs
7	6	a
7	7	Mq
7	7	AMs
7	7	MAs
7	8	d
8	8	Mq
8	8	MAs
8	8	AMs
9	9	Mq
9	9	MAs
9	9	AMs
10	10	Mq
10	10	MAs
10	10	AMs
10	11	d
11	11	Mq
11	11	MAs
11	11	AMs
12	12	Mq
12	12	MAs
12	12	AMs
12	13	d
13	13	Mq
13	13	MAs
13	13	AMs
13	19	d
14	14	Mq
14	14	MAs
14	14	AMs
15	10	d
15	15	Mq
15	15	AMs
15	15	MAs
16	16	Mq
16	16	MAs
16	16	AMs
17	17	Mq
17	17	MAs
17	17	AMs
17	18	d
18	18	Mq
18	18	MAs
18	18	AMs
19	19	Mq
19	19	MAs
19	19	AMs
20	20	Mq
20	20	MAs
20	20	AMs
21	17	d
21	21	Mq
21	21	AMs
21	21	MAs
22	22	Mq
22	22	MAs
22	22	AMs
23	7	d
23	23	Mq
23	23	AMs
23	23	MAs
24	24	Mq
24	24	MAs
24	24	AMs
25	25	Mq
25	25	MAs
25	25	AMs
25	26	d
26	16	d
26	26	Mq
26	26	AMs
26	26	MAs
27	5	d
27	27	Mq
27	27	AMs
27	27	MAs
28	14	d
28	28	Mq
28	28	AMs
28	28	MAs
29	29	Mq
29	29	MAs
29	29	AMs
29	30	d
30	22	d
30	30	Mq
30	30	AMs
30	30	MAs
31	28	d
31	31	Mq
31	31	AMs
31	31	MAs
32	24	d
32	32	Mq
32	32	AMs
32	32	MAs
33	20	d
33	33	Mq
33	33	AMs
33	33	MAs
34	33	d
34	34	Mq
34	34	AMs
34	34	MAs
35	32	d
35	35	Mq
35	35	AMs
35	35	MAs
36	36	Mq
36	36	MAs
36	36	AMs
37	37	Mq
37	37	MAs
37	37	AMs
37	38	d
38	38	Mq
38	38	MAs
38	38	AMs
39	39	Mq
39	39	MAs
39	39	AMs
39	40	d
40	40	Mq
40	40	MAs
40	40	AMs
40	77	d
41	41	Mq
41	41	MAs
41	41	AMs
42	42	Mq
42	42	MAs
42	42	AMs
43	43	Mq
43	43	MAs
43	43	AMs
43	44	d
44	44	Mq
44	44	MAs
44	44	AMs
44	132	d
45	45	Mq
45	45	MAs
45	45	AMs
45	46	d
46	46	Mq
46	46	MAs
46	46	AMs
46	119	d
47	47	Mq
47	47	MAs
47	47	AMs
47	48	d
47	49	a
48	48	Mq
48	48	MAs
48	48	AMs
49	49	Mq
49	49	MAs
49	49	AMs
49	191	d
50	50	Mq
50	50	MAs
50	50	AMs
51	51	Mq
51	51	MAs
51	51	AMs
51	52	d
52	52	Mq
52	52	MAs
52	52	AMs
53	53	Mq
53	53	MAs
53	53	AMs
53	54	d
53	55	a
53	56	a
54	54	Mq
54	54	MAs
54	54	AMs
55	55	Mq
55	55	MAs
55	55	AMs
56	56	Mq
56	56	MAs
56	56	AMs
57	57	Mq
57	57	MAs
57	57	AMs
57	58	a
57	59	d
58	58	Mq
58	58	MAs
58	58	AMs
58	217	d
59	59	Mq
59	59	MAs
59	59	AMs
60	60	Mq
60	60	MAs
60	60	AMs
60	61	d
61	61	Mq
61	61	MAs
61	61	AMs
61	88	d
61	89	a
62	62	Mq
62	62	MAs
62	62	AMs
63	63	Mq
63	63	MAs
63	63	AMs
63	64	d
64	64	Mq
64	64	MAs
64	64	AMs
65	65	Mq
65	65	MAs
65	65	AMs
65	66	d
66	66	Mq
66	66	MAs
66	66	AMs
66	134	d
67	51	d
67	67	Mq
67	67	AMs
67	67	MAs
68	68	Mq
68	68	MAs
68	68	AMs
69	69	Mq
69	69	MAs
69	69	AMs
69	70	d
70	70	Mq
70	70	MAs
70	70	AMs
70	107	d
70	129	a
71	71	Mq
71	71	MAs
71	71	AMs
71	72	d
72	72	Mq
72	72	MAs
72	72	AMs
72	365	d
73	73	Mq
73	73	MAs
73	73	AMs
73	74	d
74	74	Mq
74	74	MAs
74	74	AMs
74	108	d
74	128	a
75	75	Mq
75	75	MAs
75	75	AMs
75	76	a
76	76	Mq
76	76	MAs
76	76	AMs
76	202	d
77	77	Mq
77	77	MAs
77	77	AMs
78	36	d
78	78	Mq
78	78	AMs
78	78	MAs
79	79	Mq
79	79	MAs
79	79	AMs
79	80	d
80	80	Mq
80	80	MAs
80	80	AMs
81	42	d
81	81	Mq
81	81	AMs
81	81	MAs
82	82	Mq
82	82	MAs
82	82	AMs
82	83	d
83	41	d
83	83	Mq
83	83	AMs
83	83	MAs
83	156	a
84	50	d
84	84	Mq
84	84	AMs
84	84	MAs
84	85	a
85	85	Mq
85	85	MAs
85	85	AMs
85	139	d
86	46	a
86	86	Mq
86	86	AMs
86	86	MAs
86	87	d
87	87	Mq
87	87	MAs
87	87	AMs
88	88	Mq
